id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-1472798125,,$ 237.205,237205.0,$,"Sargento Aldea 582, Bogotá - Sierra Bella, Santiago, RM (Metropolitana)",2 dormitorios|1 a 2 baños|22 a 56 m² útiles,https://www.portalinmobiliario.com/MLC-1472798125-san-isidro-_JM#position%3D15%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:09.636269
MLC-2560568258,,$ 285.000,285000.0,$,"General Urriola 624, Santa Isabel, Santiago, RM (Metropolitana)",1 a 2 dormitorios|1 a 2 baños|20 a 54 m² útiles,https://www.portalinmobiliario.com/MLC-2560568258-edificio-argomedo-_JM#position%3D16%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:10.286486
MLC-1532597571,,$ 450.000,450000.0,$,"Eleuterio Ramírez 710, San Diego, Santiago, RM (Metropolitana)",3 dormitorios|1 baño|56 m² útiles,https://www.portalinmobiliario.com/MLC-1532597571-disponible-luminoso-dpto-3-dormitorios-1-bano-1-bodega-_JM#position%3D17%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:10.669472
MLC-1535040145,,$ 290.000,290000.0,$,"Gral. Jofré 41, Santa Isabel, Santiago, RM (Metropolitana)",1 dormitorio|1 baño|28 m² útiles,https://www.portalinmobiliario.com/MLC-1535040145-departamento-acogedor-a-pasos-del-metro-p-bustamante-_JM#position%3D18%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:11.010454
MLC-2659281768,,$ 570.000,570000.0,$,,3 dormitorios|2 baños|3 m² útiles,https://www.portalinmobiliario.com/MLC-2659281768-arriendo-comodo-departamento-gasto-comun-incluido-_JM#position%3D19%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:11.332487
MLC-2720319120,,$ 380.000,380000.0,$,"General Gana, Franklin - Biobío, Santiago, RM (Metropolitana)",2 dormitorios|2 baños|40 m² útiles,https://www.portalinmobiliario.com/MLC-2720319120-departamento-general-gana-id-40568-_JM#position%3D20%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:11.661409
MLC-2729014298,,$ 630.000,630000.0,$,,3 dormitorios|2 baños|72 m² útiles,https://www.portalinmobiliario.com/MLC-2729014298-departamento-manuel-antonio-tocornal-id-138839-_JM#position%3D21%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:12.004927
MLC-1516405593,,$ 310.000,310000.0,$,,1 dormitorio|1 baño|28 m² útiles,https://www.portalinmobiliario.com/MLC-1516405593-edificio-san-pablo-1-bod-piso-9-_JM#position%3D22%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:12.384867
MLC-2653669898,,$ 410.000,410000.0,$,"Coquimbo 56, Barrio Diez de Julio, Santiago, RM (Metropolitana)",3 dormitorios|1 baño|48 m² útiles,https://www.portalinmobiliario.com/MLC-2653669898-edificio-coquimbo-1-bod-vista-sur-piso-3-_JM#position%3D23%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:12.682144
MLC-1532820505,,$ 270.000,270000.0,$,"Gral. Bulnes 158, Barrio Yungay, Santiago, RM (Metropolitana)",1 dormitorio|1 baño|22 m² útiles,https://www.portalinmobiliario.com/MLC-1532820505-edificio-gral-bulnes-1-est-vista-poniente-piso-2-_JM#position%3D24%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:13.029383
MLC-2711972678,,$ 280.000,280000.0,$,,1 dormitorio|1 baño|20 m² útiles,https://www.portalinmobiliario.com/MLC-2711972678-edificio-avenida-vicuna-mackenna-vista-norte-piso-21-_JM#position%3D25%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:13.336328
MLC-2728423408,,$ 310.000,310000.0,$,"Av. Mapocho 1800 - 2100, Parque Los Reyes, Santiago, RM (Metropolitana)",1 dormitorio|1 baño|31 m² útiles,https://www.portalinmobiliario.com/MLC-2728423408-pqe-de-los-reyes-1d1b-est-santiago-_JM#position%3D26%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:13.748052
MLC-1542158915,,$ 270.000,270000.0,$,,1 dormitorio|1 baño|27 m² útiles,https://www.portalinmobiliario.com/MLC-1542158915-200-mil-x-primer-mes-despues-270-mil-_JM#position%3D27%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:14.052420
MLC-2692127024,,$ 450.000,450000.0,$,"Avenida Ejército Libertador 75, Santiago, Chile, Ejército - Toesca, Santiago, RM (Metropolitana)",2 dormitorios|2 baños|52 m² útiles,https://www.portalinmobiliario.com/MLC-2692127024-2d2b-edificio-100-para-arriendo-1-mes-gratis-gasto-comun-_JM#position%3D28%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:14.413912
MLC-2752602364,,$ 250.000,250000.0,$,"Padre Alonso De Ovalle 884, Bulnes, Santiago, RM (Metropolitana)",1 dormitorio|1 baño|25 m² útiles,https://www.portalinmobiliario.com/MLC-2752602364-metro-u-de-chile-oferta-posibilidad-de-estacionamiento-_JM#position%3D29%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Dce1cfe7a-c659-4713-b09b-78315bfe10fd,2024-10-30T18:39:14.814685
