id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-2448778082,,UF 310,310.0,UF,"Ahumada // Metro U. De Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|199 m² útiles,https://www.portalinmobiliario.com/MLC-2448778082-ahumada-metro-u-de-chile-_JM#position%3D38%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:45.435183
MLC-2743981594,,$ 2.998.000,2998000.0,$,,776 m² útiles,https://www.portalinmobiliario.com/MLC-2743981594-san-diego-con-santiaguillo-_JM#position%3D39%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:45.733335
MLC-2527810060,,UF 46,46.0,UF,,1 baño|122 m² útiles,https://www.portalinmobiliario.com/MLC-2527810060-loc-local-comercial-santa-rosa-esquina-matta-_JM#position%3D40%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:46.081754
MLC-1497000793,,UF 81,81.0,UF,,1 baño|179 m² útiles,https://www.portalinmobiliario.com/MLC-1497000793-loc-local-comercial-en-san-diego-_JM#position%3D41%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:46.312071
MLC-2409544220,,UF 50,50.0,UF,"San Diego 1 - 300, Bulnes, Santiago, RM (Metropolitana)",1 dormitorio|1 baño|169 m² útiles,https://www.portalinmobiliario.com/MLC-2409544220-loc-san-diego-con-alonso-ovalle-169-m2-_JM#position%3D42%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:46.612889
MLC-1538532223,,$ 2.000.000,2000000.0,$,"Zenteno 1500 - 1800, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)",3 baños|383 m² útiles,https://www.portalinmobiliario.com/MLC-1538532223-local-industrial-_JM#position%3D43%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:46.954130
MLC-1538566869,,$ 2.000.000,2000000.0,$,"Zenteno 1500 - 1800, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)",3 baños|383 m² útiles,https://www.portalinmobiliario.com/MLC-1538566869-local-industrial-_JM#position%3D44%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:47.275270
MLC-1488012349,,UF 83,83.0,UF,,1 baño|110 m² útiles,https://www.portalinmobiliario.com/MLC-1488012349-paseo-21-de-mayo-esmeralda-_JM#position%3D45%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:47.529256
MLC-2755222532,,UF 176,176.0,UF,"Gimnasio Equipado /multicanchas/camarines/centro Historico, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",12 baños|1.260 m² útiles,https://www.portalinmobiliario.com/MLC-2755222532-gimnasio-equipado-multicanchascamarinescentro-historico-_JM#position%3D46%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:47.838952
MLC-1475169321,,UF 295,295.0,UF,"Andes 2824, Parque Los Reyes, Santiago, RM (Metropolitana)",6 baños|1.928 m² útiles,https://www.portalinmobiliario.com/MLC-1475169321-local-comercial-mas-bodegas-modernas-en-arriendo-en-santiago-_JM#position%3D47%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D379789bd-f22d-4df0-adf2-debe390c61a2,2024-10-30T18:41:48.181023
