id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-1444454693,,UF 67,67.0,UF,,5 baños|320 m² útiles,https://www.portalinmobiliario.com/MLC-1444454693-oficina-en-arriendo-en-santiago-serrano-metro-u-de-chile-_JM#position%3D47%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:34.617212
MLC-2479920732,,UF 28,28.0,UF,,3 baños|153 m² útiles,https://www.portalinmobiliario.com/MLC-2479920732-excelente-oficina-rebajada-paseo-bulnes-153-m-_JM#position%3D48%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D2c47c88d-7e4c-437e-9339-09c1609fdf73,2024-10-30T18:40:34.889037
MLC-2538024394,,UF 20,20.0,UF,,2 baños|220 m² útiles,https://www.portalinmobiliario.com/MLC-2538024394-oficina-en-arriendo-en-santiago-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Df925e3f7-4cc6-4d78-85bb-667be6ca6357,2024-10-30T18:40:38.778029
MLC-1443936277,,UF 46,46.0,UF,"Serrano/metro Universidad De Chile, Bulnes, Santiago, RM (Metropolitana)",3 baños|200 m² útiles,https://www.portalinmobiliario.com/MLC-1443936277-oficina-en-arriendo-en-santiago-serrano-metro-u-de-chile-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Df925e3f7-4cc6-4d78-85bb-667be6ca6357,2024-10-30T18:40:39.120114
MLC-2405736402,,$ 1.700.000,1700000.0,$,"La Moneda, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",4 baños|222 m² útiles,https://www.portalinmobiliario.com/MLC-2405736402-oficina-en-arriendo-de-5-privados-en-santiago-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Df925e3f7-4cc6-4d78-85bb-667be6ca6357,2024-10-30T18:40:39.453796
MLC-1518627547,,UF 35,35.0,UF,,2 baños|186 m² útiles,https://www.portalinmobiliario.com/MLC-1518627547-oficina-en-arriendo-en-santiago-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Df925e3f7-4cc6-4d78-85bb-667be6ca6357,2024-10-30T18:40:39.685655
MLC-1499589435,,UF 28,28.0,UF,"Paseo Bulnes 1 - 300, Bulnes, Santiago, RM (Metropolitana)",2 baños|153 m² útiles,https://www.portalinmobiliario.com/MLC-1499589435-excelente-oficina-rebajada-primer-ano-paseo-bulnes-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Df925e3f7-4cc6-4d78-85bb-667be6ca6357,2024-10-30T18:40:40.074421
MLC-1444154801,,UF 26,26.0,UF,,2 baños|120 m² útiles,https://www.portalinmobiliario.com/MLC-1444154801-oficina-en-arriendo-en-santiago-serrano-metro-u-de-chile-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Df925e3f7-4cc6-4d78-85bb-667be6ca6357,2024-10-30T18:40:40.506456
MLC-2478957176,,UF 15,15.0,UF,,2 baños|85 m² útiles,https://www.portalinmobiliario.com/MLC-2478957176-excelente-oficina-paseo-bulnes-rebaja-primer-ano-85-m2-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Df925e3f7-4cc6-4d78-85bb-667be6ca6357,2024-10-30T18:40:40.872383
MLC-1541911517,,UF 59,59.0,UF,"P.º Phillips 1 - 300, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",7 baños|398 m² útiles,https://www.portalinmobiliario.com/MLC-1541911517-excelente-oficina-rebaja-sector-metro-plaza-de-armas-398m2-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Df925e3f7-4cc6-4d78-85bb-667be6ca6357,2024-10-30T18:40:41.190625
MLC-2479884468,,UF 13,13.0,UF,"Phillips 1 - 300, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|102 m² útiles,https://www.portalinmobiliario.com/MLC-2479884468-excelente-oficina-merced-estado-102m2-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Df925e3f7-4cc6-4d78-85bb-667be6ca6357,2024-10-30T18:40:41.494882
MLC-2445023710,,UF 17,17.0,UF,,2 baños|96 m² útiles,https://www.portalinmobiliario.com/MLC-2445023710-oficina-paseo-bulnes-metro-moneda-parque-almagro-96-m2-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Df925e3f7-4cc6-4d78-85bb-667be6ca6357,2024-10-30T18:40:41.927968
